keggid,name,formula,pubchemID,smile,fp,cid
cpd:C02480,"cis,cis-Muconate",C6H6O4,5495,C(=C\C(=O)O)\C=C/C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000100001001100000100000001001010000100,5280518.0
cpd:C00846,3-Oxoadipate,C6H8O5,4103,C(CC(=O)O)C(=O)CC(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000100000000000001000010000010110001001100000110000101101010000100,93.0
cpd:C06715,3-Oxopimeloyl-CoA,C28H44N7O20P3S,8939,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC(=O)O)O,00000000000000000000000000000100000000100001000010000110010000100110010010110101111111001111100111101110111001111001011011111111111111011111101100111111111111111111110,9543029.0
cpd:C06714,3-Hydroxypimeloyl-CoA,C28H46N7O20P3S,8938,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(CCCC(=O)O)O)O,00000000000000000000000000000100000000100001000010000110010000100110010010110101111111001111100111101110111001111001011011111111111111011111101100111111111111111111110,9543022.0
cpd:C01751,Resorcinol,C6H6O2,4884,C1=CC(=CC(=C1)O)O,00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000100000000000001000100000001000100000000100001010011110,5054.0
cpd:C21298,"2,6-Dihydroxybenzoate",C7H6O4,318172278,C1=CC(=C(C(=C1)O)C(=O)O)O,00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000100000000010001000100000001100110100010101001010011110,9338.0
cpd:C03453,gamma-Oxalocrotonate,C6H6O5,6273,C(/C=C\C(=O)O)C(=O)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000011000000010000000000000000000000010000000110001001100000100000101101010000100,5280595.0
cpd:C03676,"3-Hydroxy-cis,cis-muconate",C6H6O5,6451,C(=C\C(=O)O)\C(=C/C(=O)O)\O,00000000000000000000000000000000000000000000000000000100000000000000000000001000000000000100000000010000000000000000000000010000000100001001100000100000101001010000100,54675763.0
cpd:C16476,4-Fluoromuconolactone,C6H5FO4,47205772,C1=CC(OC1=O)(CC(=O)O)F,00000000000000000000000000000000000000000010000000000000010000000000000000000000000100010100000010010000100100001000000000010001000010101101100100100000101101010000110,9543392.0
cpd:C16477,5-Fluoromuconolactone,C6H5FO4,47205773,C1=CC(=O)OC1C(C(=O)O)F,00000000000000000000000000000000000000000010000000000000010000000000000000000000000100000100000010010000000100000000000000010001000000101101100100100000101001010000110,23724762.0
cpd:C16474,"3-Fluoro-cis,cis-muconate",C6H5FO4,47205770,C(=C\C(=O)O)\C(=C/C(=O)O)\F,00000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000010000000100000000000000010000000100101001100000100000001001010000100,9543396.0
cpd:C16249,2-Bromomaleylacetate,C6H5BrO5,47205557,C(C(=O)/C=C(\C(=O)O)/Br)C(=O)O,00000000000000000000000000000000000000000000001000000000000000000000000000001000000000000100000000010000100100000000000000010000000110101001100000100000101101010000100,9543241.0
cpd:C04178,Bromoxynil,C7H3Br2NO,6856,C1=C(C=C(C(=C1Br)O)Br)C#N,00000000000000000000000000000000000000000100001000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000110000010100001000111110,15531.0
cpd:C16246,"3,5-Dibromo-4-hydroxybenzamide",C7H5Br2NO2,47205554,C1=C(C=C(C(=C1Br)O)Br)C(=O)N,00000000000000000000000000000000000000000000001000000000000000000000000000000000000010010000100000000000000100100100010000000001000100100001000110000011101011110111110,3014162.0
cpd:C02700,L-Formylkynurenine,C11H12N2O4,5664,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)NC=O,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011000101000000100000110000010000010000000111011001101010100011101111110111110,439788.0
cpd:C00328,L-Kynurenine,C10H12N2O3,3622,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011000101000000100000010000000000010000000111011001001010100011101111110111110,161166.0
cpd:C05653,Formylanthranilate,C8H7NO3,7964,C1=CC=C(C(=C1)C(=O)O)NC=O,00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000100000010000010000000101011001000010100011001011110111110,101399.0
cpd:C03227,3-Hydroxy-L-kynurenine,C10H12N2O4,6099,C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011000101000000100000010100000000010001000111011001101110100011101111110111110,11811.0
cpd:C00632,3-Hydroxyanthranilate,C7H7NO3,3905,C1=CC(=C(C(=C1)O)N)C(=O)O,00000000000000000000000000000000000000000000000000000110000000000000000000000000000010000000000101000000000000000100000000010001000101010001000110100011101011110111110,86.0
cpd:C00637,Indole-3-acetaldehyde,C10H9NO,3910,C1=CC=C2C(=C1)C(=CN2)CC=O,00000000000000000000000000000000000000000000000000000000000000000100000000000000000100000011000010000100010000000000000001000100000010000100000000000001001110000111110,800.0
cpd:C05648,5-Hydroxy-N-formylkynurenine,C11H12N2O5,7959,C1=CC(=C(C=C1O)C(=O)C[C@@H](C(=O)O)N)NC=O,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011000101000000100000110100010000010001000111011001101110100011101111110111110,9548588.0
cpd:C05634,5-Hydroxyindoleacetaldehyde,C10H9NO2,7945,C1=CC2=C(C=C1O)C(=CN2)CC=O,00000000000000000000000000000000000000000000000000000000000000000100000000000000000100000011000010000100010000000100000001000101000110000101000100000001101111010111110,74688.0
cpd:C02938,3-Indoleacetonitrile,C10H8N2,5857,C1=CC=C2C(=C1)C(=CN2)CC#N,00000000000000000000000000000000000000000100000000000000000000000100000000000000000100000011000010000100010000010000000001000100000000000100001000000001000110000111010,351795.0
cpd:C02693,(Indol-3-yl)acetamide,C10H10N2O,5661,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,00000000000000000000000000000000000000000000000000000000000000000100000000000000000110000011100010000100110000110000010001000100000110000100001000000001001110100111110,397.0
cpd:C00108,Anthranilate,C7H7NO2,3408,C1=CC=C(C(=C1)C(=O)O)N,00000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000001000000000000000000000000010000000101010001000010000011001011110111110,227.0
cpd:C05640,Cinnavalininate,C14H8N2O6,7951,C1=CC(=C2C(=C1)OC3=CC(=O)C(=C(C3=N2)C(=O)O)N)C(=O)O,00000000000000000000000000000000000000000000000000000100010000000100000000000000100010000100000101100100010000000100000011010001000101011101101111100011101011110111110,114918.0
cpd:C00954,Indole-3-acetate,C10H9NO2,4205,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,00000000000000000000000000000000000000000000000000000000000000000100000000000000000100000011000010000100110000000000000001010100000110000101000000000001001111010111110,802.0
cpd:C05651,5-Hydroxykynurenine,C10H12N2O4,7962,C1=CC(=C(C=C1O)C(=O)C[C@@H](C(=O)O)N)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011000101000000100000010100000000010001000111011001101110100011101111110111110,9548587.0
cpd:C05635,5-Hydroxyindoleacetate,C10H9NO3,7946,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,00000000000000000000000000000000000000000000000000000000000000000100000000000000000100000011000010000100110000000100000001010101000110000101000100100001101111010111110,1826.0
cpd:C01269,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C10H13O10P,4488,C=C(C(=O)O)O[C@@H]1CC(=C[C@H]([C@H]1O)OP(=O)(O)O)C(=O)O,00000000000000000000000000000100001000000001000010100000000000000000010010001000000000000110000000010010001000001000000000011011001110001001100100101010101001010001110,439463.0
cpd:C03506,Indoleglycerol phosphate,C11H14NO6P,6317,C1=CC=C2C(=C1)C(=CN2)[C@@H]([C@@H](COP(=O)(O)O)O)O,00000000000000000000000000000100000000000001000010000110000000000100010010000000000100000110000011000110111001001000000001001110001110000101100000101001110111010111110,444150.0
cpd:C00463,Indole,C8H7N,3747,C1=CC=C2C(=C1)C=CN2,00000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000010000100010000000000000001000100000000000100000000000001000010000111010,798.0
cpd:C01302,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C12H16NO9P,4520,C1=CC=C(C(=C1)C(=O)O)NCC(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O,00000000000000000000000000000100000000000001000010000110000000000000010010000000001000000111000101001010101001001000000000011010101111011011100010101011111111110111110,446894.0
cpd:C04302,N-(5-Phospho-D-ribosyl)anthranilate,C12H16NO9P,6961,C1=CC=C(C(=C1)C(=O)O)N[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000100000111100111000010001001101000010000011011001111011101100110101011111111110111110,440289.0
cpd:C00251,Chorismate,C10H10O6,3550,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,00000000000000000000000000000000001000000000000000100000000000000000000010001000000000000000000000010000000000000000000000010011000100001001100100100010101001010001110,12039.0
cpd:C00254,Prephenate,C10H10O6,3553,C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000010000010000000000000000010000000010000000000001000000000010001000110001001100100100000101101010001110,1028.0
cpd:C00826,L-Arogenate,C10H13NO5,4084,C1=CC(C=CC1O)(C[C@@H](C(=O)O)N)C(=O)O,00000000000000000000000000000000000000000000000000000010000000000010000000000000000010000010000100010000100000011000000000010001000100001001100100100001101111110101110,439319.0
cpd:C03175,Shikimate 3-phosphate,C7H11O8P,6057,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)OP(=O)(O)O)O)O,00000000000000000000000000000100000000000001000010100010000000000000010010001000000000000110000000010010101000001000000000011011001110001001100100101010101001010001110,121947.0
cpd:C00493,Shikimate,C7H10O5,3776,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O,00000000000000000000000000000000000000000000000000100110000000000000000010001000000000000111000000010000100000000000000000010001000110000001100100100010101001010001110,8742.0
cpd:C00944,3-Dehydroquinate,C7H10O6,4196,C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000010000010000000000000000111000000000000100000001000000000010001100110001001100100100010101001010001110,439351.0
cpd:C04691,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H13O10P,7271,C([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)C(=O)C(=O)O,00000000000000000000000000000100000000000001000010000110000000000000010010000000000000000111000000000010101001001000000000011010101110001001100000101000111101010000100,160647.0
cpd:C00296,Quinate,C7H12O6,3590,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000010000010000000000000000111000000000000100000001000000000010001100110000001100100100010101001010001110,6508.0
cpd:C02637,3-Dehydroshikimate,C7H8O5,5617,C1[C@H]([C@@H](C(=O)C=C1C(=O)O)O)O,00000000000000000000000000000000000000000000000000100010000000000000000010001000000000000110000000010000100000000000000000010001000110001001100100100010101001010001110,439774.0
cpd:C21295,5-Methylphenazine-1-carboxylate,C14H11N2O2,318172275,C[N+]1=C2C=CC=C(C2=NC3=CC=CC=C31)C(=O)O,00000000000000000000000000000000000000000000000001000000000000000100000000010001000001000000010001100100010000000000000011110100000000000101001001001000001011111111110,50986168.0
cpd:C21442,Phenazine-1-carboxylate,C13H8N2O2,329728065,C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000001100100010000000000000011010100000000000101001001000000001011010111110,95069.0
cpd:C01748,Pyocyanine,C13H10N2O,4882,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O,00000000000000000000000000000000000000000000000000000000000000000100000000010001000001000000010101100100010000000100000011100001000000000100001111001000101010101111110,6817.0
cpd:C21477,1-Hydroxyphenazine,C12H8N2O,329970429,C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)O,00000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000101100100010000000100000011000101000000000101001101000000100011000111110,135412648.0
cpd:C05668,3-Hydroxypropionyl-CoA,C24H40N7O18P3S,7976,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCO)O,00000000000000000000000000000100000000100001000010000110010000100110010010110101111111001111100111101110111001111001011011101111111111011111101100111111111111111111110,11966171.0
cpd:C00222,3-Oxopropanoate,C3H4O3,3522,C(C=O)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000010000000010001001000000100000001101010000100,868.0
cpd:C05665,3-Aminopropanal,C3H7NO,7975,C(CN)C=O,00000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000001001000100000010000001000000000000010000000000000010001011100100100100,75.0
cpd:C00894,Propenoyl-CoA,C24H38N7O17P3S,4150,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C=C)O,00000000000000000000000000000100001000100001000010000110010000100110010010110101111111001111100111111110111001111001011011101111111111011111101100111111111111111111110,9543026.0
cpd:C00864,Pantothenate,C9H17NO5,4121,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O,00000000000000000000000000000000000000000000000000000110000000000010000010100000001000000111100101001000100001111001011000010000000110001011100000110101111111111100100,6613.0
cpd:C00245,Taurine,C2H7NO3S,3544,C(CS(=O)(=O)O)N,00000000000000000000000000000000000000011000000010010101001011000001010001000000001010001010000001001010101000011000001000001000001110001011000000111001010100110100100,1123.0
cpd:C06735,Aminoacetaldehyde,C2H5NO,8957,C(C=O)N,00000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000100001000000000000000000000000000000010000000000000000001011100100100100,363.0
cpd:C00094,Sulfite,H2SO3,3394,OS(=O)O,00000000000000000000000000000000000000011001000010000001001011000001010001000000000000001000000000000010001000000000000000001000001100000001000000101000000000010000100,1100.0
cpd:C05844,5-L-Glutamyl-taurine,C7H14N2O6S,8137,C(CC(=O)NCCS(=O)(=O)O)[C@@H](C(=O)O)N,00000000000000000000000000000000000000011000000010010111001011000001010001000000001010001011100101001010101000111000011000011000111110001011101000111001011111110100100,68759.0
cpd:C02798,3-Phosphonopyruvate,C3H5O6P,5748,C(C(=O)C(=O)O)P(=O)(O)O,00000000000000000000000000000100000000000001000010000000000000000000010010000000000000000110000000000010101000001000000000011000001110001001100000101000111101010000100,439811.0
cpd:C17962,Demethylphosphinothricin,C4H10NO4P,96024182,C(C[P+](=O)O)[C@@H](C(=O)O)N,00000000000000000000000000000100000000000000000001000010000000000000010000000000000010000011000100000010100000010000001000011000001110001001100000111001011111110100100,6330803.0
cpd:C04650,L-Phosphinothricin,C5H12NO4P,7238,CP(=O)(CC[C@@H](C(=O)O)N)O,00000000000000000000000000000100000000000000000000000010000000000000010000000000000010100011010100000010100000011001101000011000001110001001100000111001011111111100100,91619.0
cpd:C03167,Phosphonoacetaldehyde,C2H5O4P,6050,C(C=O)P(=O)(O)O,00000000000000000000000000000100000000000001000010000000000000000000010000000000000000000100000000000010101000001000000000001000001110001001100000101000011100010000100,490.0
cpd:C17949,N-Acetyldemethylphosphinothricin,C6H12NO5P,96024170,CC(=O)N[C@@H](CC[P+](=O)O)C(=O)O,00000000000000000000000000000100000000000000000001000010000000000000010000000000000000000011100100000010100010110000011000011000001110001001100000111001011111111100100,6337958.0
cpd:C17952,N-Acetylphosphinothricin,C7H14NO5P,96024173,CC(=O)N[C@@H](CCP(=O)(C)O)C(=O)O,00000000000000000000000000000100000000000000000000000010000000000000010000000000000000100011110100000010100010111001111000011000001110001001100000111101011111111100100,14647097.0
cpd:C05682,Phosphonoacetate,C2H5O5P,7989,C(C(=O)O)P(=O)(O)O,00000000000000000000000000000100000000000001000010000100000000000000010000000000000000000100000000000010101000001000000000011000001110001001100000101000011101010000100,546.0
cpd:C05684,Selenite,SeO3,7991,[O-][Se](=O)[O-],00010000000000000000000000000000000000000000100011000000000000000000000000000000000000000000000000000010001000000000000000001000001000000000000000101000000000010000100,1090.0
cpd:C05335,L-Selenomethionine,C5H11NO2Se,7713,C[Se]CC[C@@H](C(=O)O)N,00010000000000000000000000000000000000000000100000000010000000000000000000000000000010100011010100000000100000010001101000010000000100000001000000010001011111111100100,105024.0
cpd:C05697,Selenate,H2SeO4,8004,O[Se](=O)(=O)O,00010000000000000000000000000000000000000001100010000000000000000000010000000000000000000000000000000010001000001000000000001000001100001001100000101000000000010000100,1089.0
cpd:C05699,L-Selenocystathionine,C7H14N2O4Se,8006,C(C[Se]C[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,00010000000000000000000000000000000000000000100000000010000000000000000000000000000010100011000100000000100000010000001000010000010100001011101000110001011111110100100,441455.0
cpd:C05698,Selenohomocysteine,C4H9NO2Se,8005,C(C[SeH])[C@@H](C(=O)O)N,00010000000000000000000000000000000000000000100000000110000000000000000000000000001010000011000100000000100000010000001000010000000100000001000000010001011111110100100,49787004.0
cpd:C18902,Methylselenic acid,CH4O2Se,124489574,C[Se](=O)O,00010000000000000000000000000000000000000000100000000000000000000000010000000000000000000000010000000010000000000000000000001000001000000001000000001000000000011000100,161597.0
cpd:C01528,Hydrogen selenide,H2Se,4690,[SeH2],00010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,533.0
cpd:C05336,Selenomethionyl-tRNA(Met),C20H30N6O11PSeR(C5H8O6PR)n,7714,,,
cpd:C05686,Adenylylselenate,C10H14N5O10PSe,7993,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O[Se](=O)(=O)O)O)O)N,00010000000000000000000000000100000000100000100010000110010000100100010010010101100111000111100111100110011001101000010011101111001111011101101100101011110111110111110,440758.0
cpd:C05703,Methaneselenol,CH4Se,8010,C[SeH],00010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000,440764.0
cpd:C05714,alpha-Aminopropiononitrile,C3H6N2,8021,CC(C#N)N,00000000000000000000000000000000000000000100000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000001000000001000010101100000,411840.0
cpd:C05715,gamma-Amino-gamma-cyanobutanoate,C5H8N2O2,8022,C(CC(=O)O)C(C#N)N,00000000000000000000000000000000000000000100000000000000000000000000000000000001000010000010000000000000100000010000001000010000000110000001001000010001001111110100100,440769.0
cpd:C02512,3-Cyano-L-alanine,C4H6N2O2,5522,C(C#N)[C@@H](C(=O)O)N,00000000000000000000000000000000000000000100000000000010000000000000000000000000100010000010000100000000100000010000000000010000000100000001001000000001001111110100100,439742.0
cpd:C05670,3-Aminopropiononitrile,C3H6N2,7978,C(CN)C#N,00000000000000000000000000000000000000000100000000000000000000000000000000000000101010000000000000001000100000010000001000000000000000000000001000010001010100100100000,1647.0
cpd:C00488,Formamide,CH3NO,3771,C(=O)N,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000010000000000000000000000000000000001001000100100100,713.0
cpd:C01401,Alanine,C3H7NO2,4590,CC(C(=O)O)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000100000000000000000000000000010000000100000001000000000001001011111100100,602.0
cpd:C00302,Glutamate,C5H9NO4,3596,C(CC(=O)O)C(C(=O)O)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011000100000000100000010000001000010000000110001001100000110001001111110100100,611.0
cpd:C05711,gamma-Glutamyl-beta-cyanoalanine,C9H13N3O5,8018,C(CC(=O)N[C@@H](CC#N)C(=O)O)[C@@H](C(=O)O)N,00000000000000000000000000000000000000000100000000000010000000000000000000000000100010000011100100000000100000110000011000010000100110001001101000110001001111110100100,53297342.0
cpd:C06114,gamma-Glutamyl-beta-aminopropiononitrile,C8H13N3O3,8376,C(CNC(=O)CC[C@@H](C(=O)O)N)C#N,00000000000000000000000000000000000000000100000000000010000000000000000000000000101010000011100100001000100000110000011000010000110110001001001000110001011111110100100,440920.0
cpd:C01050,UDP-N-acetylmuramate,C20H31N3O19P2,4292,C[C@H](C(=O)O)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,00000000000000000000000000000100000001000000000010000110010000100100010010010100101101000111100111100010001001101100010011111011001111001111101111101111111111111111110,11006912.0
cpd:C01212,UDP-N-acetylmuramoyl-L-alanine,C23H36N4O20P2,4434,C[C@@H](C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,00000000000000000000000000000100000001000000000010000110010000100100010010010100101101000111100111100010001001101100010011111011001111001111111111101111111111111111110,5496796.0
cpd:C00217,D-Glutamate,C5H9NO4,3517,C(CC(=O)O)[C@H](C(=O)O)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011000100000000100000010000001000010000000110001001100000110001001111110100100,23327.0
cpd:C00819,D-Glutamine,C5H10N2O3,4077,C(CC(=O)N)[C@H](C(=O)O)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000011100100000000100000110000011000010000000110001001001000110001001111110100100,145815.0
cpd:C00692,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C28H43N5O23P2,3960,C[C@@H](C(=O)N[C@H](CCC(=O)O)C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,00000000000000000000000000000100000001000000000010000110010000100100010010010101101101000111100111100010101001111100011011111011001111001111111111111111111111111111110,449538.0
cpd:C00133,D-Alanine,C3H7NO2,3433,C[C@H](C(=O)O)N,00000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000100000000000000000000000000010000000100000001000000000001001011111100100,71080.0
cpd:C00993,D-Alanyl-D-alanine,C6H12N2O3,4239,C[C@H](C(=O)N[C@H](C)C(=O)O)N,00000000000000000000000000000000000000000000000000000010000000000000000000000001000010000000100100000000000000100000010000010000000100001001001000100101001011111100100,5460362.0
cpd:C04260,O-D-Alanyl-poly(ribitol phosphate),(C8H16NO8P)n,6925,,,
cpd:C05729,R-S-Cysteinylglycine,C5H9N2O3SR,8031,,,
cpd:C02320,R-S-Glutathione,C10H16N3O6SR,5373,,,
cpd:C00051,Glutathione,C10H17N3O6S,3353,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,00000000000000000000000000000000000000000000000000000110000000000000000000000001001010001011100100001000100000110000011000010000100110001011101000110001011111110100100,124886.0
cpd:C00006,NADP+,C21H29N7O17P3,3308,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,00000000000000000000000000000100000000100001000011000110010000100100010010010101100111000111100111100110011001101000010011101111001111011111101101101011111111110111110,5886.0
cpd:C00669,gamma-L-Glutamyl-L-cysteine,C8H14N2O5S,3938,C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N,00000000000000000000000000000000000000000000000000000110000000000000000000000000001010001011100100000000100000110000011000010000100110001001101000110001011111110100100,123938.0
cpd:C01419,Cys-Gly,C5H10N2O3S,4606,C([C@@H](C(=O)NCC(=O)O)N)S,00000000000000000000000000000000000000000000000000000110000000000000000000000001001010001011100100001000100000110000010000010000100110001011001000100001011111110100100,439498.0
cpd:C01879,5-Oxoproline,C5H7NO3,4992,C1CC(=O)N[C@@H]1C(=O)O,00000000000000000000000000000000000000000000000000000010000000000000000000000000000100000011100110000000100000110000011001010001000110001101000100110001001011110100110,7405.0
cpd:C00151,L-Amino acid,C2H4NO2R,3451,,,
cpd:C01322,RX,XR,4535,,,
cpd:C01672,Cadaverine,C5H14N2,4816,C(CCN)CCN,00000000000000000000000000000000000000000000000000000000000000000000000000000000001010000011000000001000100000010000001000000000110100000010001000010001010100100100000,273.0
cpd:C05726,S-Substituted L-cysteine,C3H6NO2SR,8029,,,
cpd:C00127,Glutathione disulfide,C20H32N6O12S2,3427,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,00000000000000100000000000000000000000000000000000000010000000000001000000000001001010001011100100001000100000110000011000011000110110001011101000110001011111110100100,65359.0
cpd:C00005,NADPH,C21H30N7O17P3,3307,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,00000000000000000000000000000100000000100001010010100110010000100100010010011101100111000111100111110110011001101000010011101111001111011111101101101011111111110111110,5884.0
cpd:C03740,(5-L-Glutamyl)-L-amino acid,C7H11N2O5R,6503,,,
cpd:C16565,Aminopropylcadaverine,C8H21N3,51090894,C(CCN)CCNCCCN,00000000000000000000000000000000000000000000000000000100000000000000000000000000101010100011000000001000100000010000001000000000110100000010001000010001010100100100000,65523.0
cpd:C00760,Cellulose,(C6H10O5)n,4022,,,
cpd:C00092,D-Glucose 6-phosphate,C6H13O9P,3392,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000000000111000000100010001001001000000000011011001110000101100100101010110101010001110,5958.0
cpd:C00718,Amylose,(C6H10O5)n,3984,,,
cpd:C00689,"alpha,alpha'-Trehalose 6-phosphate",C12H23O14P,3958,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O)O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000001000000111000000100010001001001000000010011011001110000111100101101010110101010001110,122336.0
cpd:C01083,"alpha,alpha-Trehalose",C12H22O11,4320,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000010010011000110000111100101100010110101010001110,7427.0
cpd:C01935,Maltodextrin,H2O(C6H10O5)n,5040,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000010010011000110000111100101100010110101010001110,439586.0
