keggid,name,formula,pubchemID,smile,fp,cid
cpd:C00091,Succinyl-CoA,C25H40N7O19P3S,3391,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,00000000000000000000000000000100000000100001000010000110010000100110010010110101111111001111100111101110111001111001011011111111111111011111101100111111111111111111110,92133.0
cpd:C00042,Succinate,C4H6O4,3344,C(CC(=O)O)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000001000010000000110001001100000110000001101010000100,1110.0
cpd:C05379,Oxalosuccinate,C6H6O7,7753,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000111000000000000100000000000000000010000000110001001100000100000101101010000100,972.0
cpd:C00311,Isocitrate,C6H8O7,3605,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000111000000000000100000000000000000010000000110001001100000100000101101010000100,1198.0
cpd:C00149,(S)-Malate,C4H6O5,3449,C([C@@H](C(=O)O)O)C(=O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000110000000000000100000000000000000010000000110001001100000100000101101010000100,222656.0
cpd:C00417,cis-Aconitate,C6H6O6,3707,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,00000000000000000000000000000000000000000000000000100000000000000000000000001000000000000011000000010000100000000000000000010000000110001001100000100000001101010000100,643757.0
cpd:C00158,Citrate,C6H8O7,3458,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,00000000000000000000000000000000000000000000000000000110000000000010000010000000000000000111000000000000100000001000000000010000000110001001100000100000101101010000100,311.0
cpd:C16254,[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine,C12H20NO4S2R,47205562,,,
cpd:C00122,Fumarate,C4H4O4,3422,C(=C/C(=O)O)\C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000100001001100000100000001001010000100,444972.0
cpd:C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate,C6H11O9P,7071,C([C@@H]([C@@H](COP(=O)(O)O)O)O)C(=O)C(=O)O,00000000000000000000000000000100000000000001000010000010000000000000010010000000000000000110000000000010101001001000000000011010011110001001100000101000111101010000100,3080745.0
cpd:C01801,Deoxyribose,C5H10O4,4927,C1[C@@H]([C@H](OC1O)CO)O,00000000000000000000000000000000000000000000000000000100010000000000000010000000001100000111000010000000100001000000000000010001110110000101100100100010110101010000110,9828112.0
cpd:C00117,D-Ribose 5-phosphate,C5H11O8P,3417,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000100000111000010000010001001001000000000011011001110000101100100101010110101010000110,439167.0
cpd:C00121,D-Ribose,C5H10O5,3421,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001100000111000010000000000001000000000000010001000110000101100100100010110101010000110,5779.0
cpd:C05382,Sedoheptulose 7-phosphate,C7H15O10P,7756,C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110000000000000010010000000001000000111000000000010101001001000000000001010001110001011100000101000111101010000100,165007.0
